MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,113,PAR,7
CB6R3_AE7,113,UNR,1
CB6R3_AE7,114,PAR,10
CB6R3_AE7,114,UNR,2
CB6R3_AE7,115,IVOC,1
CB6R3_AE7,116,PAR,9
CB6R3_AE7,116,UNR,1
CB6R3_AE7,117,PAR,8
CB6R3_AE7,117,UNR,1
CB6R3_AE7,118,PAR,7
CB6R3_AE7,118,UNR,1
CB6R3_AE7,120,PAR,9
CB6R3_AE7,120,UNR,1
CB6R3_AE7,121,PAR,8
CB6R3_AE7,121,UNR,1
CB6R3_AE7,122,PAR,5
CB6R3_AE7,122,UNR,1
CB6R3_AE7,123,PAR,8
CB6R3_AE7,123,UNR,1
CB6R3_AE7,124,PAR,7
CB6R3_AE7,124,UNR,1
CB6R3_AE7,125,PAR,9
CB6R3_AE7,125,UNR,1
CB6R3_AE7,126,PAR,6
CB6R3_AE7,126,UNR,1
CB6R3_AE7,127,PAR,4
CB6R3_AE7,127,UNR,1
CB6R3_AE7,128,PAR,7
CB6R3_AE7,128,UNR,1
CB6R3_AE7,129,PAR,9
CB6R3_AE7,130,PAR,8
CB6R3_AE7,131,PAR,10
CB6R3_AE7,132,PAR,9
CB6R3_AE7,133,OLE,1
CB6R3_AE7,133,PAR,4
CB6R3_AE7,134,OLE,1
CB6R3_AE7,134,PAR,8
CB6R3_AE7,135,OLE,1
CB6R3_AE7,135,PAR,5
CB6R3_AE7,136,PAR,6
CB6R3_AE7,137,PAR,9
CB6R3_AE7,138,PAR,8
CB6R3_AE7,139,PAR,10
CB6R3_AE7,140,PAR,7
CB6R3_AE7,141,OLE,1
CB6R3_AE7,141,PAR,5
CB6R3_AE7,141,UNR,1
CB6R3_AE7,142,IOLE,1
CB6R3_AE7,142,PAR,3
CB6R3_AE7,142,UNR,1
CB6R3_AE7,143,PAR,8
CB6R3_AE7,143,UNR,1
CB6R3_AE7,144,IVOC,1
CB6R3_AE7,145,PAR,10
CB6R3_AE7,146,OLE,1
CB6R3_AE7,146,PAR,5
CB6R3_AE7,147,OLE,1
CB6R3_AE7,147,PAR,5
CB6R3_AE7,148,PAR,9
CB6R3_AE7,149,PAR,8
CB6R3_AE7,150,PAR,11
CB6R3_AE7,151,PAR,10
CB6R3_AE7,152,PAR,7
CB6R3_AE7,153,KET,2
CB6R3_AE7,153,PAR,3
CB6R3_AE7,154,IVOC,1
CB6R3_AE7,155,PAR,9
CB6R3_AE7,156,PAR,8
CB6R3_AE7,157,PAR,11
CB6R3_AE7,158,PAR,10
CB6R3_AE7,159,PAR,12
CB6R3_AE7,160,PAR,9
CB6R3_AE7,161,PAR,11
CB6R3_AE7,162,PAR,10
CB6R3_AE7,163,PAR,13
CB6R3_AE7,164,PAR,12
CB6R3_AE7,165,PAR,10
CB6R3_AE7,166,IVOC,1
CB6R3_AE7,167,IVOC,1
CB6R3_AE7,168,IVOC,1
CB6R3_AE7,169,IVOC,1
CB6R3_AE7,170,OLE,1
CB6R3_AE7,170,PAR,2
CB6R3_AE7,171,PAR,1
CB6R3_AE7,171,UNR,6
CB6R3_AE7,172,PAR,4
CB6R3_AE7,173,PAR,5
CB6R3_AE7,173,UNR,1
CB6R3_AE7,174,PAR,9
CB6R3_AE7,174,UNR,1
CB6R3_AE7,175,PAR,10
CB6R3_AE7,176,OLE,1
CB6R3_AE7,176,PAR,4
CB6R3_AE7,177,IOLE,1
CB6R3_AE7,177,PAR,2
CB6R3_AE7,178,PAR,4
CB6R3_AE7,179,PAR,5
CB6R3_AE7,179,UNR,1
CB6R3_AE7,180,PAR,3
CB6R3_AE7,181,OLE,1
CB6R3_AE7,181,PAR,3
CB6R3_AE7,182,PAR,6
CB6R3_AE7,182,UNR,1
CB6R3_AE7,183,OLE,1
CB6R3_AE7,183,PAR,7
CB6R3_AE7,184,OLE,1
CB6R3_AE7,184,PAR,4
CB6R3_AE7,185,IOLE,1
CB6R3_AE7,185,PAR,1
CB6R3_AE7,186,OLE,1
CB6R3_AE7,186,PAR,5
CB6R3_AE7,187,IOLE,1
CB6R3_AE7,187,PAR,2
CB6R3_AE7,188,ALDX,1
CB6R3_AE7,188,OLE,0.5
CB6R3_AE7,188,PAR,1
CB6R3_AE7,189,PAR,8
CB6R3_AE7,190,IOLE,1
CB6R3_AE7,190,PAR,3
CB6R3_AE7,191,PAR,11
CB6R3_AE7,192,PAR,11
CB6R3_AE7,193,PAR,8
CB6R3_AE7,194,PAR,7
CB6R3_AE7,195,PAR,2
CB6R3_AE7,195,XYLMN,1
CB6R3_AE7,196,IVOC,1
CB6R3_AE7,197,PAR,10
CB6R3_AE7,198,PAR,9
CB6R3_AE7,199,PAR,6
CB6R3_AE7,200,PAR,12
CB6R3_AE7,201,IVOC,1
CB6R3_AE7,202,PAR,9
CB6R3_AE7,202,UNR,1
CB6R3_AE7,203,OLE,1
CB6R3_AE7,203,PAR,4
CB6R3_AE7,204,OLE,1
CB6R3_AE7,204,PAR,4
CB6R3_AE7,204,UNR,1
CB6R3_AE7,205,PAR,8
CB6R3_AE7,205,UNR,1
CB6R3_AE7,206,PAR,7
CB6R3_AE7,206,UNR,1
CB6R3_AE7,207,PAR,9
CB6R3_AE7,207,UNR,1
CB6R3_AE7,208,PAR,6
CB6R3_AE7,208,UNR,1
CB6R3_AE7,209,OLE,1
CB6R3_AE7,209,PAR,5
CB6R3_AE7,210,OLE,1
CB6R3_AE7,210,PAR,5
CB6R3_AE7,211,PAR,9
CB6R3_AE7,212,PAR,8
CB6R3_AE7,213,PAR,10
CB6R3_AE7,214,OLE,1
CB6R3_AE7,214,PAR,6
CB6R3_AE7,215,PAR,9
CB6R3_AE7,216,PAR,11
CB6R3_AE7,217,PAR,10
CB6R3_AE7,218,PAR,10
CB6R3_AE7,219,PAR,11
CB6R3_AE7,220,PAR,10
CB6R3_AE7,221,IOLE,1
CB6R3_AE7,221,PAR,3
CB6R3_AE7,222,PAR,11
CB6R3_AE7,223,PAR,10
CB6R3_AE7,224,PAR,12
CB6R3_AE7,225,PAR,9
CB6R3_AE7,226,PAR,8
CB6R3_AE7,227,PAR,11
CB6R3_AE7,228,PAR,10
CB6R3_AE7,229,PAR,7
CB6R3_AE7,230,OLE,1
CB6R3_AE7,230,PAR,3
CB6R3_AE7,231,OLE,1
CB6R3_AE7,231,PAR,5
CB6R3_AE7,232,OLE,1
CB6R3_AE7,232,PAR,4
CB6R3_AE7,233,PAR,7
