PROFILE_CODE,SPECIES_ID,WEIGHT_PERCENT
96001,529,8.172755134
96001,465,5.921724733
96001,280,5.245358791
96001,452,3.839785817
96001,1757,3.554443936
96001,531,3.473420932
96001,281,2.293303273
96001,279,2.25807588
96001,2999,2.15943918
96001,678,1.500686934
96001,282,1.27523162
96001,283,1.137844788
96001,3019,1.116708352
96001,3005,1.074435481
96001,438,1.014548913
96001,302,0.996935217
96001,663,0.993412478
96001,46,0.908866735
96001,588,0.891253038
96001,717,0.701025117
96001,611,0.701025117
96001,382,0.63761581
96001,2640,0.627047592
96001,301,0.591820199
96001,1463,0.58829746
96001,1999,0.581251982
96001,511,0.493183499
96001,64,0.461478846
96001,466,0.408637757
96001,536,0.34522845
96001,671,0.331137493
96001,1083,0.331137493
96001,498,0.317046535
96001,673,0.310001057
96001,3020,0.306478318
96001,1567,0.2959101
96001,1013,0.29238736
96001,522,0.281819143
96001,30,0.250114489
96001,1670,0.236023532
96001,595,0.221932575
96001,392,0.211364357
96001,2562,0.204318878
96001,551,0.204318878
96001,109,0.1972734
96001,285,0.190227921
96001,497,0.186705182
96001,977,0.183182443
96001,3040,0.176136964
96001,25,0.165568746
96001,391,0.158523268
96001,177,0.140909571
96001,698,0.140909571
96001,188,0.137386832
96001,449,0.137386832
96001,992,0.133864093
96001,592,0.126818614
96001,78,0.126818614
96001,737,0.123295875
96001,184,0.123295875
96001,1902,0.112727657
96001,313,0.112727657
96001,2645,0.109204918
96001,108,0.105682178
96001,1903,0.102159439
96001,474,0.0986367
96001,367,0.0986367
96001,3010,0.0986367
96001,508,0.0986367
96001,2955,0.091591221
96001,76,0.088068482
96001,620,0.088068482
96001,185,0.084545743
96001,728,0.081023003
96001,840,0.081023003
96001,544,0.077500264
96001,541,0.077500264
96001,107,0.077500264
96001,2119,0.073977525
96001,89,0.073977525
96001,3006,0.070454786
96001,44,0.070454786
96001,3033,0.070454786
96001,181,0.066932046
96001,603,0.066932046
96001,598,0.066932046
96001,2642,0.063409307
96001,2724,0.063409307
96001,2954,0.063409307
96001,2815,0.063409307
96001,742,0.056363829
96001,610,0.056363829
96001,2154,0.04931835
96001,1825,0.04931835
96001,230,0.04931835
96001,3032,0.04931835
96001,1082,0.04931835
96001,3024,0.045795611
96001,369,0.045795611
96001,442,0.042272871
96001,601,0.042272871
96001,486,0.042272871
96001,2564,0.038750132
96001,3026,0.038750132
96001,996,0.038750132
96001,65,0.035227393
96001,491,0.035227393
96001,2812,0.035227393
96001,3031,0.035227393
96001,371,0.031704654
96001,3022,0.031704654
96001,388,0.031704654
96001,2643,0.031704654
96001,3037,0.031704654
96001,2698,0.031704654
96001,600,0.028181914
96001,604,0.028181914
96001,106,0.028181914
96001,1012,0.028181914
96001,596,0.028181914
96001,2023,0.028181914
96001,3007,0.024659175
96001,2160,0.024659175
96001,605,0.024659175
96001,3025,0.024659175
96001,2641,0.024659175
96001,542,0.024659175
96001,3009,0.021136436
96001,3011,0.021136436
96001,3012,0.021136436
96001,1886,0.021136436
96001,2335,0.021136436
96001,80,0.021136436
96001,84,0.021136436
96001,53,0.021136436
96001,3000,0.017613696
96001,2144,0.017613696
96001,3021,0.017613696
96001,1036,0.017613696
96001,608,0.017613696
96001,3035,0.017613696
96001,3,0.017613696
96001,92,0.017613696
96001,3014,0.014090957
96001,3023,0.021136436
96001,1118,0.014090957
96001,3002,0.014090957
96001,3030,0.014090957
96001,485,0.014090957
96001,2684,0.014090957
96001,1001,0.014090957
96001,3016,0.010568218
96001,103,0.010568218
96001,248,0.010568218
96001,550,0.010568218
96001,39,0.010568218
96001,3038,0.010568218
96001,3039,0.010568218
