GEOSChem14.6.3,1,XYLE,1
GEOSChem14.6.3,2,UNK,1
GEOSChem14.6.3,3,XYLE,1
GEOSChem14.6.3,4,UNR,1
GEOSChem14.6.3,5,UNR,1
GEOSChem14.6.3,6,ALK6,1
GEOSChem14.6.3,7,UNR,1
GEOSChem14.6.3,8,ALK6,1
GEOSChem14.6.3,9,ALK6,1
GEOSChem14.6.3,10,ALK6,1
GEOSChem14.6.3,11,ALK6,1
GEOSChem14.6.3,12,ALK6,1
GEOSChem14.6.3,13,ALK6,1
GEOSChem14.6.3,14,ALK6,1
GEOSChem14.6.3,15,UNR,1
GEOSChem14.6.3,16,UNR,1
GEOSChem14.6.3,17,UNK,1
GEOSChem14.6.3,18,UNK,1
GEOSChem14.6.3,19,ALK6,1
GEOSChem14.6.3,20,ALK6,1
GEOSChem14.6.3,21,ALK6,1
GEOSChem14.6.3,22,XYLE,1
GEOSChem14.6.3,23,XYLE,1
GEOSChem14.6.3,24,XYLE,1
GEOSChem14.6.3,25,TMB,1
GEOSChem14.6.3,26,ALK6,1
GEOSChem14.6.3,27,ALK6,1
GEOSChem14.6.3,28,XYLE,1
GEOSChem14.6.3,29,IVOC,1
GEOSChem14.6.3,30,TMB,1
GEOSChem14.6.3,31,ALK6,1
GEOSChem14.6.3,32,FURA,1
GEOSChem14.6.3,33,FURA,1
GEOSChem14.6.3,34,UNK,1
GEOSChem14.6.3,35,UNK,1
GEOSChem14.6.3,36,XYLE,1
GEOSChem14.6.3,37,XYLE,1
GEOSChem14.6.3,38,ALK6,1
GEOSChem14.6.3,39,XYLE,1
GEOSChem14.6.3,40,ALK6,1
GEOSChem14.6.3,41,UNK,1
GEOSChem14.6.3,42,FURA,1
GEOSChem14.6.3,43,IVOC,1
GEOSChem14.6.3,44,TMB,1
GEOSChem14.6.3,45,ALK6,1
GEOSChem14.6.3,46,C4H6,1
GEOSChem14.6.3,47,ALK4,1
GEOSChem14.6.3,48,FURA,1
GEOSChem14.6.3,49,XYLE,1
GEOSChem14.6.3,50,PRPE,1
GEOSChem14.6.3,51,XYLE,1
GEOSChem14.6.3,52,XYLE,1
GEOSChem14.6.3,53,XYLE,1
GEOSChem14.6.3,54,XYLE,1
GEOSChem14.6.3,55,XYLE,1
GEOSChem14.6.3,56,UNK,1
GEOSChem14.6.3,57,IVOC,1
GEOSChem14.6.3,58,IVOC,1
GEOSChem14.6.3,59,XYLE,1
GEOSChem14.6.3,60,XYLE,1
GEOSChem14.6.3,61,UNK,1
GEOSChem14.6.3,62,XYLE,1
GEOSChem14.6.3,63,XYLE,1
GEOSChem14.6.3,64,PRPE,1
GEOSChem14.6.3,65,ALK4,1
GEOSChem14.6.3,66,IVOC,1
GEOSChem14.6.3,67,ALK6,1
GEOSChem14.6.3,68,UNK,1
GEOSChem14.6.3,69,ALK6,1
GEOSChem14.6.3,70,ALK6,1
GEOSChem14.6.3,71,XYLE,1
